split,path,psnr,ssim,niqe,brisque,time_s
synth,0000\demoire.png,11.420434951782227,0.3534104781237131,,,1.9244608999870252
synth,0002\demoire.png,18.043258666992188,0.8423416985725042,,,1.8652809999912279
synth,0003\demoire.png,15.803951263427734,0.7372423821883122,,,1.7886877999990247
synth,0005\demoire.png,17.264488220214844,0.4932899565959472,,,1.8490151000005426
synth,0010\demoire.png,22.357372283935547,0.9235990379964604,,,1.9391272000066238
synth,0021\demoire.png,18.062606811523438,0.6026576805051423,,,1.859283100013272
synth,0023\demoire.png,18.441146850585938,0.5220624625401835,,,1.944463599997107
synth,0025\demoire.png,20.042531967163086,0.7310417264813367,,,2.021985500003211
synth,0027\demoire.png,19.335420608520508,0.7785087520510846,,,1.8408672000077786
synth,0028\demoire.png,19.197416305541992,0.6364835473476017,,,1.8334815999987768
synth,0029\demoire.png,19.822399139404297,0.8436330462184648,,,2.0177146999922115
synth,0034\demoire.png,19.110286712646484,0.712304092803165,,,2.0596727000229293
synth,0037\demoire.png,18.460433959960938,0.8850358360505739,,,2.2068683999968925
synth,0039\demoire.png,15.970787048339844,0.5647183569735741,,,2.366970400005812
synth,0049\demoire.png,12.009469985961914,0.6287247388817164,,,2.2752648000023328
synth,0050\demoire.png,9.801166534423828,0.6041615012394146,,,2.0863722000067355
synth,0052\demoire.png,15.619120597839355,0.6350288802517906,,,2.147953299994697
synth,0053\demoire.png,19.03356170654297,0.6831645282033273,,,2.0650675000069896
synth,0059\demoire.png,13.168359756469727,0.7310491396839967,,,2.0220166000071913
synth,0061\demoire.png,20.864980697631836,0.8299191984549582,,,1.9372784000006504
synth,0071\demoire.png,17.945419311523438,0.8873057828392752,,,1.939649299994926
synth,0075\demoire.png,22.610530853271484,0.8896553338539851,,,1.9906406000081915
synth,0079\demoire.png,16.127784729003906,0.5823034772002498,,,1.8616184999991674
synth,0084\demoire.png,18.015663146972656,0.5805856274141663,,,1.8956060000055004
synth,0087\demoire.png,18.20721435546875,0.8675356665711593,,,2.0369859999773325
synth,0093\demoire.png,16.212379455566406,0.8236929726150398,,,2.095800600000075
synth,0097\demoire.png,18.463884353637695,0.8032373982148089,,,1.9955002999922726
synth,0098\demoire.png,21.754249572753906,0.9408573838939583,,,1.900239700000384
synth,0106\demoire.png,20.009477615356445,0.812868781324136,,,1.946849400002975
synth,0109\demoire.png,16.592615127563477,0.6261060127250908,,,1.9005646000005072
real,real1\demoire.png,,,10.188052410653144,196.35247802734375,1.496641699995962
