split,path,psnr,ssim,niqe,brisque,time_s
synth,0000\demoire.png,15.065502,0.3701087537840919,,,1.648780399998941
synth,0002\demoire.png,5.258931,0.27333309343417256,,,1.6055477999907453
synth,0003\demoire.png,10.79636,0.3578001977689274,,,1.6426890999937314
synth,0005\demoire.png,7.2294564,0.18960123217379343,,,1.6015031000060844
synth,0010\demoire.png,7.125062,0.3618505050125941,,,1.5917351999960374
synth,0021\demoire.png,8.409585,0.22784046735178337,,,1.5580007999960799
synth,0023\demoire.png,4.8175697,0.15711731751940675,,,1.568896799995855
synth,0025\demoire.png,9.141387,0.23899787823766594,,,1.5799471999998786
synth,0027\demoire.png,5.2202168,0.2649557002901961,,,1.5593640000079176
synth,0028\demoire.png,6.113775,0.25398123257124783,,,1.5682299000036437
synth,0029\demoire.png,5.1287565,0.2776865198258645,,,1.5626699999920675
synth,0034\demoire.png,8.427814,0.28785204154442545,,,1.5743895999985398
synth,0037\demoire.png,4.3510814,0.3037636244035522,,,1.5791172999961418
synth,0039\demoire.png,11.735377,0.27439111768437596,,,1.5453321000022697
synth,0049\demoire.png,2.819221,0.22521695798036148,,,1.5463196999917272
synth,0050\demoire.png,2.4436622,0.20851637763745343,,,1.5604935999945155
synth,0052\demoire.png,5.558402,0.2511827019604839,,,1.5724309000070207
synth,0053\demoire.png,6.5162106,0.2551014780381249,,,1.5967202999963774
synth,0059\demoire.png,4.3583107,0.31677055462877785,,,1.5743969000031939
synth,0061\demoire.png,7.098318,0.29893237257586636,,,1.5610335000092164
synth,0071\demoire.png,4.6804204,0.29750889710023276,,,1.5470216999965487
synth,0075\demoire.png,6.750021,0.36063990230944276,,,1.5579501999964123
synth,0079\demoire.png,9.968914,0.3425638926686078,,,1.5585666000042693
synth,0084\demoire.png,8.51906,0.25328324020275234,,,1.5645187999907648
synth,0087\demoire.png,5.4312572,0.2917285675048614,,,1.5630196000056458
synth,0093\demoire.png,3.298562,0.23373402368331203,,,1.5920753999962471
synth,0097\demoire.png,5.7107453,0.264736955790016,,,1.566227199997229
synth,0098\demoire.png,4.7077246,0.32393411545703943,,,1.5546943999943323
synth,0106\demoire.png,9.30098,0.3342863759959819,,,1.5680978000018513
synth,0109\demoire.png,8.25671,0.22976655575986776,,,1.5615077000038582
