split,path,psnr,ssim,niqe,brisque,time_s
synth,0000\demoire.png,12.195888,0.37623828719625935,,,1.6899343999975827
synth,0002\demoire.png,18.829933,0.7551938750508841,,,1.7129626999958418
synth,0003\demoire.png,14.631804,0.7327210341806636,,,1.7031059999862919
synth,0005\demoire.png,14.41659,0.5435603567908343,,,1.796112500000163
synth,0010\demoire.png,19.889147,0.9322528842530695,,,1.6964440000010654
synth,0021\demoire.png,15.963544,0.5242162732081803,,,1.756761300006474
synth,0023\demoire.png,16.711773,0.4496769604082478,,,1.659924100000353
synth,0025\demoire.png,16.391815,0.7021048763506368,,,1.6281160000071395
synth,0027\demoire.png,19.04712,0.6497744226664864,,,1.7040745000049355
synth,0028\demoire.png,18.34014,0.6046308172753829,,,1.7261234000034165
synth,0029\demoire.png,18.782684,0.7049481317487097,,,1.632722999995167
synth,0034\demoire.png,18.152838,0.6666113691405872,,,1.5985819999987143
synth,0037\demoire.png,17.477987,0.6792837676976626,,,1.6543519999977434
synth,0039\demoire.png,14.629719,0.5482328006384605,,,1.647004400001606
synth,0049\demoire.png,11.596973,0.5806460584417911,,,1.6804105999981402
synth,0050\demoire.png,9.894523,0.5955111556076275,,,1.71762630000012
synth,0052\demoire.png,10.265392,0.6003583546717726,,,1.6593308999945293
synth,0053\demoire.png,13.018508,0.6231227167654649,,,1.6366082000095048
synth,0059\demoire.png,13.175711,0.586816271068802,,,1.6125687000021571
synth,0061\demoire.png,19.469263,0.7247078433105112,,,1.6824076999910176
synth,0071\demoire.png,17.384638,0.671723591909354,,,1.635050199998659
synth,0075\demoire.png,17.357609,0.9003931824130134,,,1.6496718999987934
synth,0079\demoire.png,15.628867,0.643943075129487,,,1.677019199996721
synth,0084\demoire.png,17.48815,0.591299039590886,,,1.6509178999913274
synth,0087\demoire.png,17.961401,0.8156501462430475,,,1.6484675999963656
synth,0093\demoire.png,16.23882,0.6894088395981127,,,1.6339260999957332
synth,0097\demoire.png,16.696445,0.6015383679921493,,,1.6220079999984591
synth,0098\demoire.png,20.37677,0.8763995074601164,,,1.6508824999909848
synth,0106\demoire.png,18.13146,0.8232260839266274,,,1.6659555000078399
synth,0109\demoire.png,13.534602,0.6636341907226617,,,1.7338141000000178
